id,common_name,observed_on,place_guess,latitude,longitude,quality_grade,annotation_summary,url,life_stage,alive_dead
267124187,Atlantic Menhaden,2022-09-20 13:14:00-04:00,"Sea Bright Beach, Sea Bright, NJ 07760, USA",40.3627164,-73.9724701,research,,https://www.inaturalist.org/observations/267124187,,
266821671,Northern Diamondback Terrapin,2022-05-26 14:36:00-04:00,"New Jersey, US",39.5764866551,-74.5043293632,research,,https://www.inaturalist.org/observations/266821671,,
266821670,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,"New Jersey, US",39.5161951428,-74.5814538133,research,,https://www.inaturalist.org/observations/266821670,,
266821669,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,"New Jersey, US",39.4712733003,-74.4252638918,research,,https://www.inaturalist.org/observations/266821669,,
266802011,Atlantic Menhaden,2020-12-22 14:09:00-05:00,"Galloway, NJ, USA",39.4590242296,-74.4355254427,research,,https://www.inaturalist.org/observations/266802011,,
266799649,Atlantic Menhaden,2020-12-06 11:04:00-05:00,"Barnegat Light, NJ, USA",39.7584198731,-74.0947765563,research,,https://www.inaturalist.org/observations/266799649,,
263719683,Northern Diamondback Terrapin,2023-07-29 10:57:00-04:00,"New Jersey, US",39.4807602687,-74.3723861002,research,,https://www.inaturalist.org/observations/263719683,,
262907158,Northern Diamondback Terrapin,2022-03-26 16:41:04-04:00,"Cape May County, US-NJ, US",39.0598190542,-74.7320694482,research,,https://www.inaturalist.org/observations/262907158,,
261884691,Northern Diamondback Terrapin,2024-06-24 16:16:00-04:00,"Cape May County, US-NJ, US",39.0509349049,-74.6954939346,research,,https://www.inaturalist.org/observations/261884691,,
256389839,Atlantic Menhaden,2024-09-13 10:40:00-04:00,"Cape May, NJ, USA",38.9285698,-74.933531,research,Life Stage: Adult,https://www.inaturalist.org/observations/256389839,Adult,
255549595,Ipswich Sparrow,2024-12-18 10:36:00-05:00,"Ludlam Island, Strathmere, NJ, US",39.1822040811,-74.6698110435,research,,https://www.inaturalist.org/observations/255549595,,
255425238,Atlantic Menhaden,2024-05-19 10:03:00-04:00,"Cape May County, NJ, USA",38.9646987585,-74.9655049657,research,"Life Stage: Adult, Alive or Dead: Dead",https://www.inaturalist.org/observations/255425238,Adult,Dead
254577091,Ipswich Sparrow,2024-12-07 09:50:00-05:00,"Barnegat Bay, New Jersey, USA",39.8672928,-74.1122506,research,"Life Stage: Adult, Sex: Cannot Be Determined, Alive or Dead: Alive",https://www.inaturalist.org/observations/254577091,Adult,Alive
254257962,Northern Diamondback Terrapin,2024-10-07 13:53:00-04:00,"New Jersey, US",39.4910848971,-74.5039070273,research,,https://www.inaturalist.org/observations/254257962,,
254251553,Ipswich Sparrow,2024-12-02 14:00:00-05:00,"Barnegat Light, NJ, USA",39.7606802074,-74.0984035594,research,,https://www.inaturalist.org/observations/254251553,,
254049481,Northern Diamondback Terrapin,2024-10-02 14:38:00-04:00,United States,38.9541615291,-74.9662099632,research,,https://www.inaturalist.org/observations/254049481,,
253770912,Northern Diamondback Terrapin,2024-06-27 11:44:00-04:00,"New Jersey, US",39.5165240068,-74.4742655925,research,,https://www.inaturalist.org/observations/253770912,,
253770907,Northern Diamondback Terrapin,2024-06-27 09:17:00-04:00,"New Jersey, US",39.4273027252,-74.5861937167,research,,https://www.inaturalist.org/observations/253770907,,
253770906,Northern Diamondback Terrapin,2024-06-27 09:04:00-04:00,"New Jersey, US",39.5442527199,-74.4788644139,research,,https://www.inaturalist.org/observations/253770906,,
253770905,Northern Diamondback Terrapin,2024-06-27 06:59:00-04:00,"New Jersey, US",39.5328760823,-74.4196337742,research,,https://www.inaturalist.org/observations/253770905,,
253221403,Atlantic Menhaden,2024-11-25 11:14:28-05:00,"Barnegat Light, NJ, USA",39.7531661944,-74.1023406944,research,,https://www.inaturalist.org/observations/253221403,,
252216611,Atlantic Menhaden,2024-11-18 15:00:27-05:00,"North Atlantic Ocean, NJ, US",39.9310416667,-74.0715111667,research,Alive or Dead: Dead,https://www.inaturalist.org/observations/252216611,,Dead
251731662,Atlantic Menhaden,2024-11-10 09:56:00-05:00,"Cape May County, NJ, USA",38.9660156097,-74.9703410232,research,,https://www.inaturalist.org/observations/251731662,,
251702814,Northern Diamondback Terrapin,2024-11-14 12:11:51-05:00,"New Jersey, US",39.517002102,-74.3229260427,research,,https://www.inaturalist.org/observations/251702814,,
251494634,Northern Diamondback Terrapin,2024-09-29 08:00:14-04:00,United States,39.3252461906,-75.2465277504,research,Life Stage: Juvenile,https://www.inaturalist.org/observations/251494634,Juvenile,
251387721,Atlantic Menhaden,2024-11-09 17:56:09-05:00,"Sea Girt, NJ 08750, USA",40.1383778,-74.0277179997,research,,https://www.inaturalist.org/observations/251387721,,
249947014,Atlantic Menhaden,2024-10-26 13:52:44-04:00,"Port Republic, NJ, USA",39.5178744997,-74.4950531,research,,https://www.inaturalist.org/observations/249947014,,
249922108,Northern Diamondback Terrapin,2024-10-31 15:43:10-04:00,"New Jersey, US",39.5431613831,-74.2882671412,research,"Life Stage: Juvenile, Alive or Dead: Alive",https://www.inaturalist.org/observations/249922108,Juvenile,Alive
249082086,Northern Diamondback Terrapin,2024-10-25 16:54:00-04:00,"New Jersey, US",39.6617618334,-74.3677578676,research,Life Stage: Juvenile,https://www.inaturalist.org/observations/249082086,Juvenile,
249021857,Atlantic Menhaden,2024-10-24 11:11:56-04:00,"Manasquan River, Manasquan, NJ, US",40.1062305,-74.0382,research,,https://www.inaturalist.org/observations/249021857,,
249020165,Atlantic Menhaden,2024-10-24 11:11:56-04:00,"Manasquan River, Manasquan, NJ, US",40.1062305,-74.0382,research,,https://www.inaturalist.org/observations/249020165,,
249010177,Northern Diamondback Terrapin,2024-10-23 11:12:42-04:00,United States,40.1801638501,-74.0902880654,research,,https://www.inaturalist.org/observations/249010177,,
247487416,Northern Diamondback Terrapin,2024-05-02 14:10:41-04:00,"New Jersey, US",39.4317816071,-74.2655978275,research,,https://www.inaturalist.org/observations/247487416,,
246865117,Atlantic Menhaden,2024-10-11 16:07:58-04:00,United States,40.170895905,-74.1202967062,research,,https://www.inaturalist.org/observations/246865117,,
246635506,Atlantic Menhaden,2024-10-10 11:06:01-04:00,"Port Norris, NJ 08349, USA",39.2953871246,-75.1234321296,research,,https://www.inaturalist.org/observations/246635506,,
246357070,Northern Diamondback Terrapin,2024-10-07 13:54:48-04:00,"New Jersey, US",39.5807062301,-74.4354824827,research,,https://www.inaturalist.org/observations/246357070,,
246213406,Northern Diamondback Terrapin,2024-09-14 12:04:00-04:00,"New Jersey, US",39.4666016747,-74.5578956958,research,"Life Stage: Adult, Alive or Dead: Alive",https://www.inaturalist.org/observations/246213406,Adult,Alive
246100048,Northern Diamondback Terrapin,2024-04-24 17:20:53-04:00,"New Jersey, US",39.3159596286,-74.4215724187,research,,https://www.inaturalist.org/observations/246100048,,
